STARTING FOR DT 80
WARNING: Your kernel does not support swap limit capabilities or the cgroup is not mounted. Memory limited without swap.
In-memory storage of 3-sequences enabled
Initializing the 2 object cache
Initializing the 3 object cache
06:30:08> ACT CON 3:       0 | ACT CON 5:       0 | FULL SEQ:       0 / 1860480 | MIN DV:      inf | REM: 1057.60 [MIN]
06:30:18> ACT CON 3:    3941 | ACT CON 5:    2077 | FULL SEQ:    2896 / 1860480 | MIN DV:  40467.0 | REM: 107.36 [MIN]
06:30:28> ACT CON 3:    6472 | ACT CON 5:    5615 | FULL SEQ:    9767 / 1860480 | MIN DV:  30392.3 | REM: 63.37 [MIN]
06:30:38> ACT CON 3:    6823 | ACT CON 5:    9782 | FULL SEQ:   21563 / 1860480 | MIN DV:  30392.3 | REM: 42.75 [MIN]
06:30:48> ACT CON 3:    6840 | ACT CON 5:   13759 | FULL SEQ:   33147 / 1860480 | MIN DV:  29557.4 | REM: 36.86 [MIN]
06:30:58> ACT CON 3:    6840 | ACT CON 5:   17601 | FULL SEQ:   44751 / 1860480 | MIN DV:  29557.4 | REM: 33.91 [MIN]
06:31:08> ACT CON 3:    6840 | ACT CON 5:   21391 | FULL SEQ:   56404 / 1860480 | MIN DV:  29557.4 | REM: 32.07 [MIN]
06:31:18> ACT CON 3:    6840 | ACT CON 5:   25040 | FULL SEQ:   67898 / 1860480 | MIN DV:  29557.4 | REM: 30.88 [MIN]
06:31:28> ACT CON 3:    6840 | ACT CON 5:   28715 | FULL SEQ:   79448 / 1860480 | MIN DV:  29557.4 | REM: 29.96 [MIN]
06:31:39> ACT CON 3:    6840 | ACT CON 5:   32514 | FULL SEQ:   91200 / 1860480 | MIN DV:  29557.4 | REM: 29.17 [MIN]
06:31:49> ACT CON 3:    6840 | ACT CON 5:   36333 | FULL SEQ:  103000 / 1860480 | MIN DV:  29055.4 | REM: 28.51 [MIN]
06:31:59> ACT CON 3:    6840 | ACT CON 5:   39905 | FULL SEQ:  114547 / 1860480 | MIN DV:  29055.4 | REM: 28.02 [MIN]
06:32:09> ACT CON 3:    6840 | ACT CON 5:   43494 | FULL SEQ:  126105 / 1860480 | MIN DV:  29055.4 | REM: 27.58 [MIN]
06:32:19> ACT CON 3:    6840 | ACT CON 5:   46544 | FULL SEQ:  137457 / 1860480 | MIN DV:  27705.7 | REM: 27.23 [MIN]
06:32:29> ACT CON 3:    6840 | ACT CON 5:   49370 | FULL SEQ:  148648 / 1860480 | MIN DV:  27705.7 | REM: 26.93 [MIN]
06:32:39> ACT CON 3:    6840 | ACT CON 5:   52279 | FULL SEQ:  159898 / 1860480 | MIN DV:  27705.7 | REM: 26.65 [MIN]
06:32:49> ACT CON 3:    6840 | ACT CON 5:   55191 | FULL SEQ:  171151 / 1860480 | MIN DV:  27705.7 | REM: 26.38 [MIN]
06:32:59> ACT CON 3:    6840 | ACT CON 5:   57709 | FULL SEQ:  181806 / 1860480 | MIN DV:  27181.9 | REM: 26.22 [MIN]
06:33:09> ACT CON 3:    6840 | ACT CON 5:   60194 | FULL SEQ:  192199 / 1860480 | MIN DV:  27181.9 | REM: 26.09 [MIN]
06:33:19> ACT CON 3:    6840 | ACT CON 5:   62555 | FULL SEQ:  202350 / 1860480 | MIN DV:  26915.1 | REM: 26.00 [MIN]
06:33:29> ACT CON 3:    6840 | ACT CON 5:   65050 | FULL SEQ:  213005 / 1860480 | MIN DV:  26915.1 | REM: 25.83 [MIN]
06:33:39> ACT CON 3:    6840 | ACT CON 5:   67579 | FULL SEQ:  223653 / 1860480 | MIN DV:  26915.1 | REM: 25.67 [MIN]
06:33:49> ACT CON 3:    6840 | ACT CON 5:   69783 | FULL SEQ:  234153 / 1860480 | MIN DV:  25733.7 | REM: 25.52 [MIN]
06:33:59> ACT CON 3:    6840 | ACT CON 5:   71791 | FULL SEQ:  244352 / 1860480 | MIN DV:  25733.7 | REM: 25.41 [MIN]
06:34:09> ACT CON 3:    6840 | ACT CON 5:   73830 | FULL SEQ:  254754 / 1860480 | MIN DV:  25733.7 | REM: 25.27 [MIN]
06:34:19> ACT CON 3:    6840 | ACT CON 5:   75963 | FULL SEQ:  265301 / 1860480 | MIN DV:  25733.7 | REM: 25.11 [MIN]
06:34:29> ACT CON 3:    6840 | ACT CON 5:   78039 | FULL SEQ:  275806 / 1860480 | MIN DV:  25733.7 | REM: 24.95 [MIN]
06:34:39> ACT CON 3:    6840 | ACT CON 5:   80138 | FULL SEQ:  286354 / 1860480 | MIN DV:  25733.7 | REM: 24.79 [MIN]
06:34:49> ACT CON 3:    6840 | ACT CON 5:   82316 | FULL SEQ:  297101 / 1860480 | MIN DV:  25733.7 | REM: 24.61 [MIN]
06:34:59> ACT CON 3:    6840 | ACT CON 5:   84486 | FULL SEQ:  307954 / 1860480 | MIN DV:  25733.7 | REM: 24.42 [MIN]
06:35:09> ACT CON 3:    6840 | ACT CON 5:   86488 | FULL SEQ:  318303 / 1860480 | MIN DV:  25733.7 | REM: 24.28 [MIN]
06:35:19> ACT CON 3:    6840 | ACT CON 5:   88652 | FULL SEQ:  328757 / 1860480 | MIN DV:  25733.7 | REM: 24.13 [MIN]
06:35:29> ACT CON 3:    6840 | ACT CON 5:   90756 | FULL SEQ:  339056 / 1860480 | MIN DV:  25733.7 | REM: 23.99 [MIN]
06:35:39> ACT CON 3:    6840 | ACT CON 5:   92784 | FULL SEQ:  349458 / 1860480 | MIN DV:  25733.7 | REM: 23.83 [MIN]
06:35:49> ACT CON 3:    6840 | ACT CON 5:   94812 | FULL SEQ:  359807 / 1860480 | MIN DV:  25733.7 | REM: 23.69 [MIN]
06:35:59> ACT CON 3:    6840 | ACT CON 5:   96862 | FULL SEQ:  370256 / 1860480 | MIN DV:  25733.7 | REM: 23.53 [MIN]
06:36:09> ACT CON 3:    6840 | ACT CON 5:   99006 | FULL SEQ:  380804 / 1860480 | MIN DV:  25733.7 | REM: 23.36 [MIN]
06:36:19> ACT CON 3:    6840 | ACT CON 5:  101136 | FULL SEQ:  391503 / 1860480 | MIN DV:  25733.7 | REM: 23.19 [MIN]
06:36:29> ACT CON 3:    6840 | ACT CON 5:  103216 | FULL SEQ:  402008 / 1860480 | MIN DV:  25733.7 | REM: 23.03 [MIN]
06:36:39> ACT CON 3:    6840 | ACT CON 5:  105256 | FULL SEQ:  412507 / 1860480 | MIN DV:  25733.7 | REM: 22.87 [MIN]
06:36:49> ACT CON 3:    6840 | ACT CON 5:  107374 | FULL SEQ:  423102 / 1860480 | MIN DV:  25733.7 | REM: 22.70 [MIN]
06:36:59> ACT CON 3:    6840 | ACT CON 5:  109492 | FULL SEQ:  433606 / 1860480 | MIN DV:  25733.7 | REM: 22.54 [MIN]
06:37:09> ACT CON 3:    6840 | ACT CON 5:  111602 | FULL SEQ:  444103 / 1860480 | MIN DV:  25733.7 | REM: 22.38 [MIN]
06:37:19> ACT CON 3:    6840 | ACT CON 5:  113713 | FULL SEQ:  454452 / 1860480 | MIN DV:  25733.7 | REM: 22.23 [MIN]
06:37:29> ACT CON 3:    6840 | ACT CON 5:  115911 | FULL SEQ:  465253 / 1860480 | MIN DV:  25733.7 | REM: 22.04 [MIN]
06:37:39> ACT CON 3:    6840 | ACT CON 5:  118006 | FULL SEQ:  475604 / 1860480 | MIN DV:  25733.7 | REM: 21.89 [MIN]
