,5,10,20,40,80
99  -> 98  -> 102 -> 97  -> 104,40208.70901637267,40216.128711821635,40263.57013179443,40285.58220118709,41502.743072313184
102 -> 97  -> 98  -> 104 -> 103,42472.737964503525,42491.16921361616,42502.1498097321,42667.71755214367,44762.22720809678
97  -> 102 -> 98  -> 104 -> 103,43298.62152906527,43307.776739557376,43307.776739557376,43625.59173037562,45864.54695238677
99  -> 102 -> 97  -> 98  -> 104,43325.05104719606,43331.477083816455,43374.143358045534,43632.53271873756,44864.562237080856
98  -> 102 -> 97  -> 104 -> 103,43389.48033786439,43404.58268419523,43429.265474024876,43646.16556615096,46234.73007954995
102 -> 97  -> 104 -> 98  -> 96 ,44851.53203918715,44865.832626341435,44876.60452640263,44907.20922018043,46818.10369064271
102 -> 103 -> 104 -> 99  -> 100,46506.83315172253,46532.11688649056,46572.17602778567,46572.17602778567,50740.84485398269
99  -> 104 -> 100 -> 98  -> 105,47480.37460394384,47483.45106643831,47558.94273488311,47586.69850027268,50058.789888092724
97  -> 102 -> 104 -> 98  -> 96 ,48514.3943720596,48521.520695841275,48529.32689163429,48815.44176354598,50073.7811186863
102 -> 103 -> 99  -> 104 -> 100,48708.79004594953,48719.59134380803,48808.79123719325,48958.12115028091,
100 -> 99  -> 104 -> 98  -> 97 ,48755.43992885682,48762.61941925746,48762.61941925746,49148.941795563835,49913.58730222303
98  -> 102 -> 97  -> 105 -> 100,48872.69544897007,48891.25121822371,48957.857570713524,49094.88734753923,
98  -> 99  -> 102 -> 97  -> 104,48892.60738230923,48895.29239489471,48941.11755442548,49156.698424798815,50925.2882228635
99  -> 102 -> 97  -> 104 -> 98 ,48926.796951955825,48938.97660943601,48975.821600881005,49207.841573681704,50255.88302161215
102 -> 97  -> 104 -> 96  -> 98 ,49522.566428872844,49524.11292197704,49545.66682620852,49815.681276808464,
102 -> 97  -> 98  -> 104 -> 96 ,49548.19552613856,49559.53779599029,49559.53779599029,49751.004316377555,
99  -> 98  -> 102 -> 97  -> 105,49700.581865264045,49712.26822838396,49712.26822838396,49904.03216114972,
99  -> 102 -> 98  -> 97  -> 104,49900.00005330448,49906.767198862755,49906.767198862755,50161.68593034787,
