,5,10,20,40,80
99  -> 98  -> 102 -> 97  -> 104,40208,40216,40263,40285,41502.0
102 -> 97  -> 98  -> 104 -> 103,42472,42491,42502,42667,44762.0
97  -> 102 -> 98  -> 104 -> 103,43298,43307,43307,43625,45864.0
99  -> 102 -> 97  -> 98  -> 104,43325,43331,43374,43632,44864.0
98  -> 102 -> 97  -> 104 -> 103,43389,43404,43429,43646,46234.0
102 -> 97  -> 104 -> 98  -> 96 ,44851,44865,44876,44907,46818.0
102 -> 103 -> 104 -> 99  -> 100,46506,46532,46572,46572,50740.0
99  -> 104 -> 100 -> 98  -> 105,47480,47483,47558,47586,50058.0
97  -> 102 -> 104 -> 98  -> 96 ,48514,48521,48529,48815,50073.0
102 -> 103 -> 99  -> 104 -> 100,48708,48719,48808,48958,
100 -> 99  -> 104 -> 98  -> 97 ,48755,48762,48762,49148,49913.0
98  -> 102 -> 97  -> 105 -> 100,48872,48891,48957,49094,
98  -> 99  -> 102 -> 97  -> 104,48892,48895,48941,49156,50925.0
99  -> 102 -> 97  -> 104 -> 98 ,48926,48938,48975,49207,50255.0
102 -> 97  -> 104 -> 96  -> 98 ,49522,49524,49545,49815,
102 -> 97  -> 98  -> 104 -> 96 ,49548,49559,49559,49751,
99  -> 98  -> 102 -> 97  -> 105,49700,49712,49712,49904,
99  -> 102 -> 98  -> 97  -> 104,49900,49906,49906,50161,
