,10,20,40,80
108 -> 115 -> 98  -> 102 -> 97 ,23723.0,23752.0,23843.0,25043.0
115 -> 108 -> 98  -> 102 -> 97 ,24455.0,24464.0,24512.0,25733.0
98  -> 115 -> 108 -> 114 -> 97 ,24565.0,24582.0,24687.0,25828.0
108 -> 114 -> 97  -> 115 -> 104,24738.0,24747.0,25028.0,26032.0
107 -> 113 -> 103 -> 109 -> 104,24779.0,24795.0,24870.0,25503.0
108 -> 114 -> 97  -> 115 -> 102,24799.0,24844.0,25145.0,25934.0
98  -> 108 -> 114 -> 97  -> 115,25051.0,25057.0,25057.0,26174.0
102 -> 114 -> 99  -> 115 -> 108,25362.0,25382.0,25432.0,26233.0
103 -> 113 -> 107 -> 98  -> 96 ,25853.0,25886.0,25972.0,27141.0
98  -> 115 -> 108 -> 97  -> 114,25864.0,25886.0,25958.0,27138.0
103 -> 113 -> 107 -> 96  -> 98 ,25881.0,25890.0,25952.0,26968.0
99  -> 104 -> 111 -> 100 -> 109,26255.0,26293.0,26350.0,27181.0
106 -> 108 -> 114 -> 97  -> 115,26275.0,26297.0,26558.0,26915.0
114 -> 115 -> 98  -> 102 -> 97 ,26418.0,26442.0,26442.0,27705.0
98  -> 108 -> 97  -> 114 -> 115,27033.0,27040.0,27142.0,28427.0
104 -> 107 -> 109 -> 113 -> 112,27191.0,27273.0,27332.0,29078.0
96  -> 108 -> 114 -> 97  -> 115,27252.0,27267.0,27482.0,28172.0
112 -> 113 -> 103 -> 109 -> 104,27284.0,27299.0,27368.0,27916.0
108 -> 97  -> 114 -> 115 -> 104,27342.0,27377.0,27541.0,29121.0
96  -> 112 -> 113 -> 103 -> 109,27595.0,27635.0,27712.0,28500.0
108 -> 97  -> 114 -> 115 -> 102,27706.0,27748.0,27808.0,28998.0
98  -> 109 -> 100 -> 111 -> 99 ,27795.0,27802.0,27979.0,28999.0
109 -> 113 -> 107 -> 98  -> 96 ,27808.0,27822.0,27831.0,29488.0
114 -> 108 -> 98  -> 102 -> 97 ,27863.0,27881.0,27927.0,28865.0
103 -> 113 -> 98  -> 96  -> 107,27917.0,27955.0,28044.0,29132.0
115 -> 114 -> 98  -> 102 -> 97 ,27959.0,27988.0,28052.0,29055.0
108 -> 114 -> 97  -> 115 -> 109,28014.0,28073.0,28286.0,30775.0
103 -> 102 -> 113 -> 111 -> 100,28046.0,28107.0,28668.0,31005.0
103 -> 113 -> 98  -> 107 -> 96 ,28143.0,28189.0,28250.0,29266.0
109 -> 113 -> 107 -> 96  -> 98 ,28144.0,28178.0,28210.0,29783.0
104 -> 111 -> 100 -> 109 -> 99 ,28169.0,28180.0,28255.0,28927.0
108 -> 114 -> 97  -> 115 -> 107,28194.0,28288.0,28513.0,30392.0
102 -> 114 -> 115 -> 99  -> 113,28208.0,28208.0,28417.0,30582.0
108 -> 114 -> 98  -> 102 -> 97 ,28405.0,28426.0,28478.0,29107.0
96  -> 112 -> 113 -> 109 -> 103,28409.0,28439.0,28442.0,29557.0
115 -> 108 -> 114 -> 102 -> 97 ,28458.0,28499.0,28505.0,29763.0
108 -> 115 -> 114 -> 102 -> 97 ,28473.0,28513.0,28577.0,29835.0
96  -> 113 -> 103 -> 109 -> 104,28605.0,28605.0,28769.0,29803.0
102 -> 113 -> 104 -> 111 -> 100,28648.0,28662.0,28890.0,29519.0
104 -> 109 -> 107 -> 113 -> 112,28670.0,28704.0,28813.0,30653.0
98  -> 109 -> 100 -> 99  -> 111,28747.0,28781.0,28956.0,29903.0
102 -> 114 -> 97  -> 108 -> 115,28750.0,28762.0,28762.0,30213.0
102 -> 114 -> 108 -> 97  -> 115,28751.0,28792.0,28943.0,30823.0
98  -> 108 -> 114 -> 115 -> 97 ,28882.0,28911.0,28951.0,31029.0
112 -> 102 -> 113 -> 111 -> 100,28897.0,29042.0,29530.0,32249.0
108 -> 115 -> 98  -> 97  -> 102,29014.0,29022.0,29022.0,31275.0
115 -> 108 -> 98  -> 114 -> 99 ,29023.0,29029.0,29137.0,29774.0
106 -> 108 -> 97  -> 114 -> 115,29044.0,29089.0,29114.0,29812.0
108 -> 113 -> 100 -> 114 -> 102,29059.0,29079.0,29355.0,31500.0
108 -> 114 -> 97  -> 115 -> 98 ,29070.0,29164.0,29486.0,31637.0
107 -> 109 -> 113 -> 103 -> 104,29082.0,29114.0,29298.0,29811.0
106 -> 100 -> 99  -> 104 -> 111,29096.0,29097.0,29205.0,30307.0
108 -> 103 -> 115 -> 107 -> 102,29111.0,29136.0,29303.0,30122.0
108 -> 115 -> 98  -> 114 -> 99 ,29115.0,29135.0,29241.0,29676.0
107 -> 113 -> 103 -> 104 -> 109,29187.0,29215.0,29305.0,30236.0
112 -> 96  -> 113 -> 103 -> 109,29194.0,29194.0,29401.0,30912.0
98  -> 102 -> 97  -> 115 -> 108,29290.0,29316.0,29422.0,30999.0
102 -> 97  -> 115 -> 98  -> 96 ,29314.0,29357.0,29423.0,31185.0
115 -> 108 -> 114 -> 97  -> 102,29314.0,29324.0,29330.0,30486.0
104 -> 115 -> 108 -> 114 -> 97 ,29327.0,29365.0,29524.0,30451.0
106 -> 108 -> 114 -> 115 -> 97 ,29381.0,29401.0,29629.0,30533.0
113 -> 103 -> 109 -> 104 -> 107,29383.0,29387.0,29528.0,30604.0
108 -> 114 -> 111 -> 100 -> 109,29450.0,29475.0,29569.0,31587.0
104 -> 111 -> 100 -> 109 -> 97 ,29476.0,29510.0,29579.0,30997.0
100 -> 114 -> 99  -> 115 -> 108,29482.0,29509.0,29600.0,30573.0
113 -> 108 -> 100 -> 114 -> 102,29550.0,29619.0,29718.0,33110.0
96  -> 108 -> 103 -> 107 -> 115,29561.0,29567.0,29603.0,31646.0
104 -> 99  -> 111 -> 100 -> 109,29583.0,29592.0,29922.0,30555.0
115 -> 108 -> 98  -> 99  -> 114,29584.0,29621.0,29701.0,30428.0
102 -> 103 -> 113 -> 111 -> 100,29629.0,29666.0,29804.0,31735.0
113 -> 103 -> 109 -> 107 -> 96 ,29637.0,29683.0,29825.0,31177.0
113 -> 107 -> 103 -> 109 -> 104,29743.0,29761.0,29892.0,30930.0
115 -> 108 -> 114 -> 98  -> 102,29748.0,29761.0,29882.0,30722.0
108 -> 115 -> 98  -> 99  -> 114,29750.0,29787.0,29901.0,30330.0
108 -> 115 -> 114 -> 98  -> 102,29752.0,29766.0,29837.0,30660.0
103 -> 109 -> 104 -> 107 -> 96 ,29792.0,29817.0,29836.0,30951.0
106 -> 107 -> 113 -> 103 -> 109,29795.0,29833.0,29957.0,31115.0
103 -> 107 -> 115 -> 108 -> 102,29845.0,29866.0,29915.0,31338.0
115 -> 108 -> 98  -> 97  -> 102,29859.0,29864.0,29864.0,31962.0
99  -> 115 -> 108 -> 114 -> 102,29859.0,29859.0,30053.0,31445.0
99  -> 98  -> 102 -> 97  -> 115,29905.0,29926.0,30039.0,31400.0
100 -> 99  -> 104 -> 111 -> 109,29909.0,29909.0,29947.0,31249.0
99  -> 104 -> 100 -> 111 -> 109,30072.0,30115.0,30257.0,31168.0
106 -> 100 -> 99  -> 111 -> 104,30083.0,30107.0,30243.0,31622.0
108 -> 115 -> 98  -> 96  -> 107,30136.0,30170.0,30226.0,31306.0
109 -> 107 -> 113 -> 103 -> 104,30139.0,30139.0,30273.0,31029.0
104 -> 98  -> 108 -> 114 -> 97 ,30153.0,30208.0,30445.0,32832.0
102 -> 97  -> 115 -> 108 -> 114,30156.0,30236.0,30270.0,33111.0
104 -> 98  -> 108 -> 97  -> 114,30170.0,30197.0,30312.0,32201.0
108 -> 115 -> 98  -> 107 -> 96 ,30271.0,30312.0,30326.0,31533.0
104 -> 115 -> 108 -> 97  -> 114,30274.0,30292.0,30361.0,31741.0
114 -> 108 -> 97  -> 115 -> 104,30276.0,30276.0,30348.0,31433.0
104 -> 98  -> 115 -> 108 -> 114,30305.0,30316.0,30336.0,31457.0
101 -> 104 -> 109 -> 111 -> 97 ,30309.0,30322.0,30334.0,31543.0
96  -> 108 -> 97  -> 114 -> 115,30317.0,30374.0,30403.0,31439.0
114 -> 108 -> 97  -> 115 -> 102,30347.0,30363.0,30394.0,31335.0
96  -> 112 -> 113 -> 109 -> 104,30357.0,30390.0,30473.0,31913.0
99  -> 115 -> 108 -> 114 -> 101,30368.0,30368.0,30450.0,30863.0
114 -> 115 -> 108 -> 102 -> 97 ,30368.0,30408.0,30432.0,32100.0
105 -> 97  -> 110 -> 107 -> 101,30373.0,30398.0,30497.0,32240.0
104 -> 111 -> 100 -> 99  -> 109,30395.0,30395.0,30478.0,31483.0
115 -> 114 -> 108 -> 102 -> 97 ,30396.0,30418.0,30440.0,31661.0
102 -> 114 -> 99  -> 108 -> 115,30401.0,30408.0,30602.0,31333.0
108 -> 103 -> 107 -> 115 -> 102,30402.0,30457.0,30515.0,31934.0
