,10,20,40,80
108 -> 115 -> 98  -> 102 -> 97 ,23723.96311989106,23752.25544776923,23843.98975922598,25043.57313226926
115 -> 108 -> 98  -> 102 -> 97 ,24455.22998707125,24464.87849028066,24512.587364959945,25733.67176499633
98  -> 115 -> 108 -> 114 -> 97 ,24565.697762215575,24582.983718340045,24687.77643834875,25828.65687407365
108 -> 114 -> 97  -> 115 -> 104,24738.08517074668,24747.597316411593,25028.585362351074,26032.69384490254
107 -> 113 -> 103 -> 109 -> 104,24779.7914016867,24795.336083843213,24870.283706539245,25503.774702532337
108 -> 114 -> 97  -> 115 -> 102,24799.412882504355,24844.112372892698,25145.201427056774,25934.528368366104
98  -> 108 -> 114 -> 97  -> 115,25051.364083250308,25057.82768617024,25057.82768617024,26174.849177171305
102 -> 114 -> 99  -> 115 -> 108,25362.152959415384,25382.853766329074,25432.58832043974,26233.39155615357
103 -> 113 -> 107 -> 98  -> 96 ,25853.940105174464,25886.004267431126,25972.66072298604,27141.23087289782
98  -> 115 -> 108 -> 97  -> 114,25864.540205186222,25886.111414582403,25958.418418136804,27138.39175602293
103 -> 113 -> 107 -> 96  -> 98 ,25881.817992703123,25890.91552020931,25952.500550618126,26968.46688912179
99  -> 104 -> 111 -> 100 -> 109,26255.627572135887,26293.798332220013,26350.246569374343,27181.909105509883
106 -> 108 -> 114 -> 97  -> 115,26275.508735345527,26297.28091341175,26558.410391435,26915.096171072386
114 -> 115 -> 98  -> 102 -> 97 ,26418.863132630075,26442.28663064928,26442.28663064928,27705.716604207904
98  -> 108 -> 97  -> 114 -> 115,27033.977740369453,27040.277073671048,27142.447436921953,28427.09641319774
104 -> 107 -> 109 -> 113 -> 112,27191.33343821142,27273.629119766112,27332.25276056286,29078.18828445556
96  -> 108 -> 114 -> 97  -> 115,27252.75473782653,27267.478251848446,27482.05727156911,28172.083862629057
112 -> 113 -> 103 -> 109 -> 104,27284.56864252727,27299.0310749845,27368.090474343102,27916.409215788866
108 -> 97  -> 114 -> 115 -> 104,27342.966582648318,27377.6419746582,27541.395756477716,29121.651120693343
96  -> 112 -> 113 -> 103 -> 109,27595.978583982687,27635.19276580558,27712.18969029974,28500.354917739285
108 -> 97  -> 114 -> 115 -> 102,27706.871391470857,27748.594631295447,27808.495137629558,28998.043867386055
98  -> 109 -> 100 -> 111 -> 99 ,27795.61058515355,27802.214218697118,27979.846453093298,28999.828465350685
109 -> 113 -> 107 -> 98  -> 96 ,27808.996492550148,27822.747240523662,27831.468470214764,29488.71587823184
114 -> 108 -> 98  -> 102 -> 97 ,27863.274766432467,27881.62720701406,27927.0934578553,28865.166288223554
103 -> 113 -> 98  -> 96  -> 107,27917.13705848024,27955.48973647361,28044.15725063485,29132.395843040744
115 -> 114 -> 98  -> 102 -> 97 ,27959.07606221849,27988.2301802976,28052.15622156577,29055.41251358122
108 -> 114 -> 97  -> 115 -> 109,28014.897640595736,28073.834197512908,28286.134832777556,30775.21087803069
103 -> 102 -> 113 -> 111 -> 100,28046.604885335644,28107.78125905707,28668.040346399324,31005.766339497168
103 -> 113 -> 98  -> 107 -> 96 ,28143.199001042274,28189.573209817485,28250.693763807187,29266.660102310856
109 -> 113 -> 107 -> 96  -> 98 ,28144.647566662294,28178.372306528516,28210.992190042656,29783.04219799216
104 -> 111 -> 100 -> 109 -> 99 ,28169.257889758643,28180.28973229597,28255.910014709967,28927.20000398589
108 -> 114 -> 97  -> 115 -> 107,28194.74917265898,28288.507041535406,28513.25827282895,30392.333150375187
102 -> 114 -> 115 -> 99  -> 113,28208.925750226706,28208.925750226706,28417.250337914393,30582.152417498677
108 -> 114 -> 98  -> 102 -> 97 ,28405.80710456146,28426.015028907474,28478.372246050265,29107.863445933282
96  -> 112 -> 113 -> 109 -> 103,28409.53815901767,28439.779405536505,28442.441947807456,29557.370069746572
115 -> 108 -> 114 -> 102 -> 97 ,28458.668034838258,28499.90279717562,28505.005999431793,29763.31070088504
108 -> 115 -> 114 -> 102 -> 97 ,28473.93801036589,28513.361738992193,28577.113392775587,29835.418094228837
