,10,20,40,80
108 -> 115 -> 98  -> 102 -> 97 ,1.0,1.0,1.0,1.0
115 -> 108 -> 98  -> 102 -> 97 ,2.0,2.0,2.0,3.0
98  -> 115 -> 108 -> 114 -> 97 ,3.0,3.0,3.0,4.0
108 -> 114 -> 97  -> 115 -> 104,4.0,4.0,5.0,6.0
107 -> 113 -> 103 -> 109 -> 104,5.0,5.0,4.0,2.0
108 -> 114 -> 97  -> 115 -> 102,6.0,6.0,7.0,5.0
98  -> 108 -> 114 -> 97  -> 115,7.0,7.0,6.0,7.0
102 -> 114 -> 99  -> 115 -> 108,8.0,8.0,8.0,8.0
103 -> 113 -> 107 -> 98  -> 96 ,9.0,9.0,11.0,12.0
98  -> 115 -> 108 -> 97  -> 114,10.0,10.0,10.0,11.0
103 -> 113 -> 107 -> 96  -> 98 ,11.0,11.0,9.0,10.0
99  -> 104 -> 111 -> 100 -> 109,12.0,12.0,12.0,13.0
106 -> 108 -> 114 -> 97  -> 115,13.0,13.0,14.0,9.0
114 -> 115 -> 98  -> 102 -> 97 ,14.0,14.0,13.0,14.0
98  -> 108 -> 97  -> 114 -> 115,15.0,15.0,15.0,17.0
104 -> 107 -> 109 -> 113 -> 112,16.0,17.0,16.0,24.0
96  -> 108 -> 114 -> 97  -> 115,17.0,16.0,18.0,16.0
112 -> 113 -> 103 -> 109 -> 104,18.0,18.0,17.0,15.0
108 -> 97  -> 114 -> 115 -> 104,19.0,19.0,19.0,26.0
96  -> 112 -> 113 -> 103 -> 109,20.0,20.0,20.0,18.0
108 -> 97  -> 114 -> 115 -> 102,21.0,21.0,21.0,21.0
98  -> 109 -> 100 -> 111 -> 99 ,22.0,22.0,24.0,22.0
109 -> 113 -> 107 -> 98  -> 96 ,23.0,23.0,22.0,29.0
114 -> 108 -> 98  -> 102 -> 97 ,24.0,24.0,23.0,19.0
103 -> 113 -> 98  -> 96  -> 107,25.0,25.0,25.0,27.0
115 -> 114 -> 98  -> 102 -> 97 ,26.0,26.0,26.0,23.0
108 -> 114 -> 97  -> 115 -> 109,27.0,27.0,30.0,58.0
103 -> 102 -> 113 -> 111 -> 100,28.0,28.0,37.0,66.0
103 -> 113 -> 98  -> 107 -> 96 ,29.0,31.0,28.0,28.0
109 -> 113 -> 107 -> 96  -> 98 ,30.0,29.0,27.0,35.0
104 -> 111 -> 100 -> 109 -> 99 ,31.0,30.0,29.0,20.0
108 -> 114 -> 97  -> 115 -> 107,32.0,33.0,35.0,46.0
102 -> 114 -> 115 -> 99  -> 113,33.0,32.0,31.0,53.0
108 -> 114 -> 98  -> 102 -> 97 ,34.0,34.0,33.0,25.0
96  -> 112 -> 113 -> 109 -> 103,35.0,35.0,32.0,31.0
115 -> 108 -> 114 -> 102 -> 97 ,36.0,36.0,34.0,33.0
108 -> 115 -> 114 -> 102 -> 97 ,37.0,37.0,36.0,39.0
96  -> 113 -> 103 -> 109 -> 104,38.0,38.0,39.0,36.0
102 -> 113 -> 104 -> 111 -> 100,39.0,39.0,41.0,30.0
104 -> 109 -> 107 -> 113 -> 112,40.0,40.0,40.0,55.0
98  -> 109 -> 100 -> 99  -> 111,41.0,42.0,44.0,40.0
102 -> 114 -> 97  -> 108 -> 115,42.0,41.0,38.0,42.0
102 -> 114 -> 108 -> 97  -> 115,43.0,43.0,42.0,59.0
98  -> 108 -> 114 -> 115 -> 97 ,44.0,44.0,43.0,67.0
112 -> 102 -> 113 -> 111 -> 100,45.0,47.0,61.0,122.0
108 -> 115 -> 98  -> 97  -> 102,46.0,45.0,45.0,74.0
115 -> 108 -> 98  -> 114 -> 99 ,47.0,46.0,47.0,34.0
106 -> 108 -> 97  -> 114 -> 115,48.0,49.0,46.0,38.0
108 -> 113 -> 100 -> 114 -> 102,49.0,48.0,54.0,86.0
108 -> 114 -> 97  -> 115 -> 98 ,50.0,54.0,58.0,94.0
107 -> 109 -> 113 -> 103 -> 104,51.0,51.0,50.0,37.0
106 -> 100 -> 99  -> 104 -> 111,52.0,50.0,48.0,44.0
108 -> 103 -> 115 -> 107 -> 102,53.0,53.0,51.0,41.0
108 -> 115 -> 98  -> 114 -> 99 ,54.0,52.0,49.0,32.0
107 -> 113 -> 103 -> 104 -> 109,55.0,56.0,52.0,43.0
112 -> 96  -> 113 -> 103 -> 109,56.0,55.0,55.0,61.0
98  -> 102 -> 97  -> 115 -> 108,57.0,57.0,56.0,65.0
102 -> 97  -> 115 -> 98  -> 96 ,58.0,59.0,57.0,72.0
115 -> 108 -> 114 -> 97  -> 102,59.0,58.0,53.0,49.0
104 -> 115 -> 108 -> 114 -> 97 ,60.0,60.0,59.0,48.0
106 -> 108 -> 114 -> 115 -> 97 ,61.0,62.0,66.0,50.0
